iid,gender,age,race,imprace,imprelig,goal,date,go_out,exphappy,expnum
379,F,38,2,4,6,2,7,2,5,NA
380,F,33,1,4,8,2,7,4,6,NA
381,F,24,2,6,3,5,4,1,2,NA
382,F,28,2,8,1,2,7,3,6,NA
383,F,27,2,10,5,3,6,2,4,NA
384,F,23,2,9,6,2,5,3,8,NA
385,F,25,2,5,8,2,5,3,7,NA
386,F,26,2,4,2,2,7,2,4,NA
387,F,25,2,5,2,2,7,2,6,NA
388,F,24,2,1,6,2,4,2,4,NA
389,F,21,2,1,1,2,3,1,7,NA
390,F,30,4,1,10,6,4,3,6,NA
391,F,28,2,1,5,1,4,1,4,NA
392,F,26,2,6,1,5,4,3,3,NA
393,F,22,2,4,8,1,7,1,6,NA
394,F,24,2,1,6,2,4,2,6,NA
395,F,33,2,1,2,3,4,2,4,NA
396,F,25,4,1,5,2,7,2,4,NA
397,M,24,2,3,2,2,5,2,6,NA
398,M,29,2,7,2,2,3,1,8,NA
399,M,29,2,1,1,2,4,2,7,NA
400,M,26,2,7,7,5,4,2,3,NA
401,M,31,2,1,1,2,4,1,9,NA
402,M,29,4,1,1,3,4,2,6,NA
403,M,22,2,6,6,5,5,3,6,NA
404,M,23,2,1,4,2,5,2,7,NA
405,M,30,1,1,1,4,5,5,6,NA
406,M,27,4,1,1,1,6,2,6,NA
407,M,24,2,1,1,3,4,2,5,NA
408,M,24,3,1,1,2,7,1,6,NA
409,M,23,2,5,5,2,6,3,7,NA
410,M,27,2,8,8,1,5,1,5,NA
411,M,34,2,8,2,3,4,1,3,NA
412,M,27,2,1,1,1,5,2,4,NA
413,M,26,2,5,3,1,NA,2,8,NA
414,M,29,2,2,10,6,1,1,5,NA
415,M,31,2,3,1,1,4,2,4,NA
430,F,22,4,3,10,1,6,2,5,NA
431,F,27,4,5,8,2,7,3,7,NA
432,F,28,2,1,1,4,6,3,4,NA
433,F,30,6,3,3,2,6,3,5,NA
434,F,27,2,2,2,1,4,2,3,NA
435,F,22,1,1,1,1,7,2,5,NA
436,F,23,2,9,1,1,6,1,5,NA
437,F,23,2,2,6,1,4,1,5,NA
438,F,23,2,1,5,1,4,1,4,NA
439,F,29,2,1,5,2,3,2,7,NA
440,M,21,2,8,2,1,7,2,7,NA
441,M,24,2,4,2,2,7,1,7,NA
442,M,25,2,1,1,4,6,1,6,NA
443,M,27,3,1,3,2,6,2,7,NA
444,M,26,2,5,1,2,4,2,3,NA
445,M,30,2,1,1,2,5,2,5,NA
446,M,28,3,2,2,1,4,3,7,NA
447,M,26,4,1,1,1,7,2,3,NA
448,M,22,2,1,1,1,2,1,3,NA
449,M,23,6,7,1,1,3,1,5,NA
450,M,25,2,3,7,2,6,2,3,NA
451,M,30,4,3,1,2,3,3,3,NA
452,M,29,4,7,1,1,5,3,7,NA
453,M,27,4,4,3,2,6,5,6,NA
466,F,24,2,1,1,6,7,1,5,NA
467,F,24,2,7,4,6,2,1,7,NA
468,F,25,6,5,2,1,6,3,4,NA
469,F,25,4,1,1,2,3,1,4,NA
470,F,29,4,1,1,1,4,2,4,NA
471,F,30,4,8,8,2,5,3,5,NA
472,F,25,3,1,3,2,4,2,4,NA
473,F,34,4,1,1,2,6,4,7,NA
474,F,30,1,1,1,1,6,5,9,NA
475,F,27,3,1,2,1,6,2,5,NA
476,F,25,2,1,3,5,5,2,5,NA
477,F,27,3,5,7,1,4,2,7,NA
478,F,26,2,4,4,1,4,1,4,NA
479,F,27,2,3,3,1,4,3,6,NA
480,F,26,2,4,6,1,4,1,4,NA
481,M,23,2,8,1,2,3,2,6,NA
482,M,30,2,2,6,2,6,1,4,NA
483,M,28,2,1,1,6,3,1,5,NA
484,M,31,4,1,1,1,6,4,6,NA
485,M,29,1,4,3,2,6,2,6,NA
486,M,32,3,1,1,3,6,2,8,NA
487,M,24,4,1,1,1,5,3,5,NA
488,M,29,4,1,1,3,2,3,5,NA
489,M,28,2,6,5,3,2,1,6,NA
490,M,29,2,6,1,2,6,3,3,NA
491,M,29,3,3,3,2,4,1,5,NA
492,M,30,6,1,1,2,4,2,7,NA
493,M,20,4,1,1,5,6,5,10,NA
494,M,30,2,2,8,4,3,3,6,NA
495,M,32,6,5,6,2,2,1,6,NA
509,F,28,4,2,2,2,4,2,6,NA
510,F,26,3,3,3,2,7,2,5,NA
511,F,23,4,2,2,2,7,3,6,NA
512,F,NA,2,1,1,1,3,2,NA,NA
513,F,23,2,1,1,2,6,4,2,NA
514,F,23,2,8,9,2,4,3,7,NA
515,F,23,2,8,5,1,6,3,6,NA
516,F,27,4,9,3,2,6,3,2,NA
517,F,30,3,1,1,5,5,3,3,NA
518,F,23,2,2,1,5,7,2,2,NA
519,F,26,2,8,9,2,4,2,6,NA
520,F,28,6,2,1,1,7,1,5,NA
521,F,26,2,3,1,1,3,1,6,NA
522,F,22,2,3,6,1,6,2,5,NA
523,F,27,4,3,2,2,4,3,9,NA
524,F,25,4,9,6,2,7,4,6,NA
525,F,24,2,2,8,2,4,1,6,NA
526,F,26,3,5,2,1,5,3,6,NA
527,F,24,6,5,5,1,4,3,1,NA
528,F,29,3,8,7,2,6,1,4,NA
529,F,22,4,4,1,2,4,1,5,NA
530,F,22,4,1,1,2,7,3,8,NA
531,M,25,4,5,1,2,7,2,7,NA
532,M,26,4,8,3,1,2,2,6,NA
533,M,26,2,1,1,2,6,2,5,NA
534,M,24,6,1,1,3,5,6,9,NA
535,M,23,2,5,6,1,5,3,6,NA
536,M,29,2,1,1,1,5,2,8,NA
537,M,22,4,7,1,1,5,1,7,NA
538,M,32,2,1,1,1,4,2,6,NA
539,M,22,2,6,6,1,4,1,7,NA
540,M,24,2,5,1,1,7,4,7,NA
541,M,23,4,2,2,3,7,3,7,NA
542,M,23,4,7,1,2,5,3,8,NA
543,M,24,4,9,6,1,7,2,8,NA
544,M,23,4,3,8,1,7,3,5,NA
545,M,24,2,7,1,1,7,2,6,NA
546,M,30,2,3,4,2,4,1,8,NA
547,M,30,2,1,1,2,3,1,6,NA
548,M,30,2,8,8,1,6,1,7,NA
549,M,28,2,2,3,1,7,1,5,NA
550,M,30,2,5,6,2,4,1,7,NA
551,M,27,1,2,1,1,6,3,3,NA
552,M,25,2,1,1,1,2,1,10,NA
