iid,round,position,order,pid,match,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es
28,16,1,2,46,Yes,Yes,7.0,8.0,8.0,8.0,5.0,9.0,7.5,6.5,No,3.0
28,16,1,9,47,No,No,4.0,6.0,6.0,5.0,4.0,3.0,2.0,5.0,No,3.0
28,16,1,13,48,No,No,6.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,No,3.0
28,16,1,16,49,No,No,3.0,5.0,7.0,5.5,5.0,4.0,4.0,3.0,No,3.0
28,16,1,1,50,No,No,5.0,8.0,9.0,5.0,8.0,6.0,3.0,5.0,No,3.0
28,16,1,10,51,No,Yes,5.0,4.5,6.0,4.0,5.5,6.0,4.5,4.5,No,3.0
28,16,1,11,52,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
28,16,1,6,53,No,Yes,6.0,6.0,7.0,5.0,6.0,7.0,8.0,5.5,No,3.0
28,16,1,7,54,No,No,4.0,5.0,6.5,5.0,5.0,6.0,4.0,4.0,No,3.0
28,16,1,14,55,No,No,4.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,No,3.0
29,16,9,10,40,No,No,4.0,9.0,4.0,4.0,5.0,NA,5.0,4.0,No,3.0
29,16,9,11,41,No,No,4.0,8.0,6.0,3.0,6.0,NA,4.0,4.0,No,3.0
29,16,9,12,42,No,No,6.0,8.0,7.0,5.0,5.0,NA,6.0,3.0,No,3.0
29,16,9,15,43,No,No,5.0,7.0,5.0,3.0,5.0,NA,5.0,4.0,NA,3.0
29,16,9,3,44,Yes,Yes,8.0,6.0,7.0,3.0,7.0,2.0,6.0,4.0,No,3.0
29,16,9,6,45,Yes,Yes,6.0,8.0,7.0,4.0,7.0,2.0,6.0,4.0,No,3.0
29,16,9,9,46,No,Yes,8.0,6.0,6.0,5.0,NA,NA,7.0,4.0,No,3.0
29,16,9,16,47,No,No,5.0,6.0,6.0,7.0,6.0,NA,6.0,4.0,No,3.0
29,16,9,4,48,No,Yes,8.0,7.0,8.0,8.0,8.0,6.0,8.0,5.0,No,3.0
29,16,9,7,49,No,No,7.0,5.0,6.0,8.0,6.0,4.0,5.0,6.0,No,3.0
29,16,9,8,50,No,Yes,7.0,7.0,7.0,7.0,7.0,NA,7.0,5.0,No,3.0
29,16,9,1,51,No,Yes,6.0,7.0,7.0,4.0,6.0,6.0,6.0,5.0,No,3.0
29,16,9,2,52,No,Yes,6.0,8.0,8.0,5.0,7.0,5.0,8.0,7.0,No,3.0
29,16,9,13,53,No,Yes,9.0,8.0,8.0,5.0,7.0,NA,8.0,5.0,No,3.0
29,16,9,14,54,No,No,6.0,7.0,6.0,4.0,6.0,5.0,6.0,4.0,NA,3.0
29,16,9,5,55,No,Yes,6.0,8.0,7.0,6.0,5.0,3.0,6.0,6.0,No,3.0
30,16,15,16,40,No,No,3.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,No,1.0
30,16,15,1,41,No,No,8.0,9.0,8.0,5.0,9.0,5.0,8.0,5.0,No,1.0
30,16,15,2,42,No,No,6.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,No,1.0
30,16,15,5,43,No,No,4.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,No,1.0
30,16,15,9,44,No,No,6.0,9.0,7.0,5.0,6.0,3.0,7.0,4.0,No,1.0
30,16,15,12,45,No,No,4.0,5.0,5.0,2.0,6.0,5.0,4.0,3.0,No,1.0
30,16,15,15,46,No,No,8.0,7.0,7.0,7.0,5.0,5.0,7.0,6.0,No,1.0
30,16,15,6,47,No,No,5.0,5.0,5.0,7.0,7.0,6.0,8.0,6.0,No,1.0
30,16,15,10,48,No,No,7.0,7.0,5.0,7.0,5.0,7.0,8.0,7.0,No,1.0
30,16,15,13,49,Yes,Yes,8.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,Yes,1.0
30,16,15,14,50,No,Yes,7.0,7.0,8.0,8.0,7.0,7.0,8.0,4.0,No,1.0
30,16,15,7,51,No,No,5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,No,1.0
30,16,15,8,52,No,No,3.0,7.0,8.0,6.0,7.0,5.0,7.0,7.0,No,1.0
30,16,15,3,53,No,Yes,7.0,7.0,8.0,7.0,9.0,7.0,9.0,6.0,No,1.0
30,16,15,4,54,No,No,3.0,5.0,8.0,4.0,7.0,6.0,6.0,5.0,No,1.0
30,16,15,11,55,Yes,Yes,7.0,7.0,8.0,8.0,7.0,8.0,8.0,5.0,No,1.0
31,16,8,9,40,No,No,4.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,No,3.0
31,16,8,10,41,No,No,3.0,6.0,6.0,3.0,6.0,2.0,NA,NA,No,3.0
31,16,8,11,42,No,No,4.0,5.0,6.0,5.0,6.0,4.0,5.0,3.0,NA,3.0
31,16,8,14,43,No,No,4.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,No,3.0
31,16,8,2,44,No,No,4.0,6.0,7.0,5.0,8.0,5.0,5.0,4.0,No,3.0
31,16,8,5,45,No,No,4.0,5.0,7.0,3.0,6.0,4.0,5.0,4.0,No,3.0
31,16,8,8,46,No,No,9.0,6.0,7.0,7.0,6.0,5.0,7.0,4.0,No,3.0
31,16,8,15,47,No,No,2.0,3.0,4.0,2.0,6.0,2.0,4.0,3.0,No,3.0
31,16,8,3,48,Yes,Yes,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,No,3.0
31,16,8,6,49,Yes,Yes,7.0,8.0,8.0,6.0,7.0,5.0,7.0,8.0,No,3.0
31,16,8,7,50,Yes,Yes,9.0,7.0,8.0,9.0,8.0,8.0,9.0,9.0,Yes,3.0
31,16,8,16,51,No,No,4.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,No,3.0
31,16,8,1,52,No,No,3.0,8.0,8.0,5.0,5.0,5.0,6.0,4.0,Yes,3.0
31,16,8,12,53,No,No,7.0,7.0,7.0,6.0,6.0,6.0,6.5,6.0,No,3.0
31,16,8,13,54,No,No,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,No,3.0
31,16,8,4,55,Yes,Yes,9.0,8.0,7.0,10.0,9.0,8.0,8.5,9.0,Yes,3.0
32,16,18,2,40,No,No,4.0,8.0,7.0,9.0,NA,6.0,5.0,5.0,No,0.0
32,16,18,3,41,No,No,7.0,8.0,9.0,NA,9.0,7.0,7.0,5.0,No,0.0
32,16,18,4,42,No,No,5.0,6.0,6.0,7.0,8.0,NA,6.0,5.0,No,0.0
32,16,18,7,43,No,No,5.0,7.0,7.0,6.0,9.0,5.0,5.0,3.0,No,0.0
32,16,18,11,44,No,No,5.0,7.0,9.0,5.0,4.0,6.0,6.0,3.0,No,0.0
32,16,18,14,45,No,No,8.0,8.0,9.0,5.0,9.0,6.0,8.0,5.0,No,0.0
32,16,18,1,46,No,No,8.0,9.0,8.0,NA,8.0,7.0,8.0,5.0,No,0.0
32,16,18,8,47,No,No,7.0,9.0,8.0,7.0,8.0,8.0,6.0,5.0,No,0.0
32,16,18,12,48,No,No,7.0,8.0,7.0,9.0,6.0,4.0,7.0,2.0,No,0.0
32,16,18,15,49,No,No,6.0,8.0,9.0,9.0,6.0,6.0,7.0,5.0,No,0.0
32,16,18,16,50,No,No,7.0,8.0,8.0,9.0,8.0,4.0,6.0,3.0,No,0.0
32,16,18,9,51,No,No,5.0,6.0,7.0,6.0,7.0,5.0,5.0,3.0,No,0.0
32,16,18,10,52,No,No,4.0,7.0,6.0,6.0,9.0,4.0,5.0,3.0,No,0.0
32,16,18,5,53,No,No,7.0,6.0,9.0,8.0,9.0,9.0,7.0,5.0,No,0.0
32,16,18,6,54,No,No,7.0,6.0,9.0,8.0,9.0,9.0,7.0,5.0,No,0.0
32,16,18,13,55,No,No,8.0,8.0,7.0,9.0,7.0,5.0,7.0,3.0,No,0.0
33,16,19,3,40,No,Yes,6.0,8.0,7.0,10.0,7.0,4.0,8.0,5.0,No,1.0
33,16,19,4,41,No,No,2.0,6.0,7.0,4.0,6.0,2.0,5.0,2.0,No,1.0
33,16,19,5,42,No,No,6.0,8.0,6.0,6.0,6.0,5.0,5.0,3.0,No,1.0
33,16,19,8,43,No,Yes,5.0,7.0,7.0,5.0,7.0,5.0,6.0,3.0,No,1.0
33,16,19,12,44,No,No,5.0,6.0,6.0,2.0,5.0,7.0,4.0,2.0,No,1.0
33,16,19,15,45,No,No,6.0,6.0,7.0,3.0,7.0,3.0,5.0,2.0,No,1.0
33,16,19,2,46,No,No,8.0,7.0,9.0,5.0,6.0,4.0,6.0,2.0,No,1.0
33,16,19,9,47,No,No,4.0,5.0,6.0,7.0,7.0,4.0,6.0,2.0,No,1.0
33,16,19,13,48,No,Yes,8.0,7.0,6.0,6.0,7.0,8.0,7.0,3.0,No,1.0
33,16,19,16,49,No,No,6.0,7.0,8.0,5.0,7.0,5.0,7.0,2.0,No,1.0
33,16,19,1,50,No,Yes,7.0,9.0,7.0,7.0,10.0,5.0,7.0,3.0,No,1.0
33,16,19,10,51,No,No,7.0,5.0,9.0,1.0,9.0,2.0,3.0,1.0,No,1.0
33,16,19,11,52,No,Yes,9.0,9.0,8.0,9.0,7.0,9.0,8.0,4.0,No,1.0
33,16,19,6,53,No,No,8.0,7.0,5.0,6.0,7.0,4.0,6.0,3.0,No,1.0
33,16,19,7,54,No,No,5.0,6.0,5.0,5.0,6.0,8.0,5.0,2.0,No,1.0
33,16,19,14,55,No,No,7.0,7.0,6.0,6.0,6.0,4.0,5.0,2.0,No,1.0
34,16,2,4,40,No,No,4.0,4.0,5.0,4.0,4.0,NA,5.0,6.0,No,2.0
34,16,2,5,41,No,No,3.0,4.0,7.0,4.0,4.0,NA,5.0,7.0,No,2.0
34,16,2,6,42,No,No,5.0,4.0,5.0,6.0,7.0,6.0,5.0,5.0,No,2.0
34,16,2,9,43,No,No,4.0,4.0,6.0,4.0,6.0,NA,5.0,4.0,No,2.0
34,16,2,13,44,No,No,4.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,No,2.0
34,16,2,16,45,No,No,4.0,5.0,6.0,5.0,6.0,5.0,5.0,3.0,No,2.0
34,16,2,3,46,Yes,Yes,9.0,8.0,9.0,7.0,8.0,NA,8.0,8.0,No,2.0
34,16,2,10,47,No,No,3.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,No,2.0
34,16,2,14,48,No,No,5.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,No,2.0
34,16,2,1,49,Yes,Yes,7.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,No,2.0
34,16,2,2,50,No,No,4.0,4.0,6.0,6.0,7.0,4.0,5.0,5.0,No,2.0
34,16,2,11,51,No,No,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,No,2.0
34,16,2,12,52,No,No,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,No,2.0
34,16,2,7,53,No,No,5.0,4.0,6.0,3.0,7.0,3.0,5.0,4.0,No,2.0
34,16,2,8,54,No,No,4.0,6.0,6.0,5.0,7.0,3.0,5.0,4.0,NA,2.0
34,16,2,15,55,No,No,4.0,4.0,5.0,6.0,6.0,5.0,5.0,3.0,NA,2.0
35,16,17,1,40,No,Yes,6.0,8.0,9.0,7.0,7.0,8.0,7.0,7.0,No,10.0
35,16,17,2,41,No,No,5.0,9.0,8.0,6.0,7.0,6.0,6.0,7.0,No,10.0
35,16,17,3,42,No,No,6.0,8.0,9.0,8.0,7.0,9.0,8.0,6.0,No,10.0
35,16,17,6,43,No,No,6.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,No,10.0
35,16,17,10,44,No,No,5.0,8.0,7.0,7.0,7.0,5.0,6.0,6.0,No,10.0
35,16,17,13,45,Yes,Yes,7.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,No,10.0
35,16,17,16,46,Yes,Yes,8.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,No,10.0
35,16,17,7,47,No,No,5.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,No,10.0
35,16,17,11,48,No,Yes,8.0,8.0,7.0,8.0,7.0,6.0,7.0,7.0,No,10.0
35,16,17,14,49,Yes,Yes,7.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,No,10.0
35,16,17,15,50,Yes,Yes,6.0,8.0,8.0,10.0,8.0,9.0,8.0,10.0,No,10.0
35,16,17,8,51,No,Yes,8.0,8.0,6.0,6.0,7.0,6.0,7.0,5.0,No,10.0
35,16,17,9,52,No,No,6.0,7.0,10.0,7.0,7.0,9.0,7.0,8.0,No,10.0
35,16,17,4,53,Yes,Yes,8.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,No,10.0
35,16,17,5,54,No,No,6.0,8.0,8.0,6.0,7.0,9.0,7.0,8.0,No,10.0
35,16,17,12,55,No,No,6.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,No,10.0
36,16,6,7,40,No,No,2.0,5.0,2.0,3.0,1.0,3.0,2.0,5.0,No,0.0
36,16,6,8,41,No,No,1.0,2.0,2.0,1.0,8.0,2.0,2.0,5.0,No,0.0
36,16,6,9,42,No,No,2.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,No,0.0
36,16,6,12,43,No,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,No,0.0
36,16,6,16,44,No,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,NA,0.0
36,16,6,3,45,No,No,2.0,2.0,5.0,2.0,8.0,4.0,3.0,5.0,No,0.0
36,16,6,6,46,No,No,2.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,No,0.0
36,16,6,13,47,No,No,1.0,3.0,5.0,1.0,2.0,1.0,1.0,6.0,Yes,0.0
36,16,6,1,48,No,No,3.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0,No,0.0
36,16,6,4,49,Yes,Yes,4.0,5.0,8.0,8.0,10.0,8.0,8.0,5.0,Yes,0.0
36,16,6,5,50,No,No,5.0,4.0,8.0,5.0,8.0,3.0,5.0,3.0,No,0.0
36,16,6,14,51,Yes,Yes,5.0,2.0,6.0,2.0,5.0,4.0,5.0,6.0,No,0.0
36,16,6,15,52,No,No,1.0,5.0,5.0,2.0,5.0,2.0,3.0,6.0,No,0.0
36,16,6,10,53,No,Yes,9.0,8.0,8.0,5.0,6.0,7.0,7.0,6.0,No,0.0
36,16,6,11,54,No,No,3.0,4.0,6.0,4.0,5.0,2.0,4.0,5.0,No,0.0
36,16,6,2,55,No,No,5.0,6.0,8.0,6.0,8.0,4.0,5.0,5.0,No,0.0
37,16,11,12,40,No,No,2.0,4.0,5.0,4.0,4.0,3.0,3.0,6.0,No,6.0
37,16,11,13,41,No,No,2.0,5.0,6.0,3.0,4.0,3.0,3.0,5.0,No,6.0
37,16,11,14,42,No,Yes,4.0,4.0,6.0,7.0,5.0,4.0,4.0,5.0,No,6.0
37,16,11,1,43,No,No,4.0,7.0,8.0,2.0,6.0,2.0,3.0,2.0,No,6.0
37,16,11,5,44,Yes,Yes,7.0,6.0,8.0,6.0,9.0,6.0,7.0,7.0,No,6.0
37,16,11,8,45,No,No,6.0,4.0,7.0,4.0,5.0,2.0,4.0,3.0,No,6.0
37,16,11,11,46,No,Yes,8.0,5.0,9.0,7.0,6.0,5.0,6.0,6.0,No,6.0
37,16,11,2,47,No,No,3.0,5.0,7.0,6.0,6.0,6.0,5.0,5.0,No,6.0
